,Rank,Anime,Anime Type,Episodes,Start Air Date,End Air Date,Members,Score
146,147,Golden Kamuy 3rd Season,TV,12,Oct 2020 , Dec 2020,147369,8.45
147,148,Karakai Jouzu no Takagi-san 3,TV,12,Jan 2022 , Mar 2022,162810,8.45
148,149,Haikyuu!!,TV,25,Apr 2014 , Sep 2014,1826989,8.44
149,150,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,24,Jan 2015 , Jun 2015,1018960,8.44
150,151,Mushishi Zoku Shou: Odoro no Michi,Special,1,Aug 2014 , Aug 2014,95246,8.44
151,152,Saenai Heroine no Sodatekata Fine,Movie,1,Oct 2019 , Oct 2019,167578,8.44
152,153,Tian Guan Ci Fu Special,ONA,1,Feb 2021 , Feb 2021,37264,8.44
153,154,Kono Oto Tomare! Part 2,TV,13,Oct 2019 , Dec 2019,157720,8.43
154,155,Koukaku Kidoutai: Stand Alone Complex,TV,26,Oct 2002 , Oct 2003,379649,8.43
155,156,Mo Dao Zu Shi: Xian Yun Pian,ONA,8,Aug 2019 , Sep 2019,94902,8.43
156,157,Mononoke,TV,12,Jul 2007 , Sep 2007,298849,8.43
157,158,Saiki Kusuo no Ψ-nan 2,TV,24,Jan 2018 , Jun 2018,588095,8.43
158,159,Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,Aug 2012 , Aug 2012,41731,8.43
159,160,Grand Blue,TV,12,Jul 2018 , Sep 2018,708303,8.43
160,161,Josee to Tora to Sakana-tachi,Movie,1,Dec 2020 , Dec 2020,360839,8.42
161,162,Saiki Kusuo no Ψ-nan,TV,120,Jul 2016 , Dec 2016,1006675,8.42
162,163,Vivy: Fluorite Eye's Song,TV,13,Apr 2021 , Jun 2021,477642,8.42
163,164,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,1,Sep 2019 , Sep 2019,376572,8.41
164,165,Wu Liuqi: Xuanwu Guo Pian,ONA,10,Jan 2021 , May 2021,49197,8.41
165,166,Hunter x Hunter,TV,62,Oct 1999 , Mar 2001,553706,8.41
166,167,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,Jan 2019 , Mar 2019,1581446,8.41
167,168,Major S5,TV,25,Jan 2009 , Jun 2009,68069,8.41
168,169,Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie,1,Sep 2018 , Sep 2018,65621,8.41
169,170,Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,Dec 2014 , Apr 2015,476185,8.41
170,171,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1,Feb 2018 , Feb 2018,390853,8.4
171,172,Gintama°: Aizome Kaori-hen,OVA,2,Aug 2016 , Nov 2016,79912,8.4
172,173,Houseki no Kuni,TV,12,Oct 2017 , Dec 2017,423239,8.4
173,174,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie,1,Aug 2009 , Aug 2009,197859,8.4
174,175,Kaze ga Tsuyoku Fuiteiru,TV,23,Oct 2018 , Mar 2019,279620,8.4
175,176,Chihayafuru 2,TV,25,Jan 2013 , Jun 2013,223663,8.39
176,177,Cross Game,TV,50,Apr 2009 , Mar 2010,119402,8.39
177,178,Kamisama Hajimemashita: Kako-hen,OVA,4,Aug 2015 , Aug 2016,155663,8.39
178,179,Kimetsu no Yaiba: Mugen Ressha-hen,TV,7,Oct 2021 , Nov 2021,571803,8.39
179,180,Natsume Yuujinchou Roku Specials,Special,2,Sep 2017 , Oct 2017,43214,8.39
180,181,Tensei shitara Slime Datta Ken 2nd Season,TV,12,Jan 2021 , Mar 2021,839082,8.39
181,182,Tian Guan Ci Fu,ONA,11,Oct 2020 , Jan 2021,113691,8.39
182,183,Non Non Biyori Nonstop,TV,12,Jan 2021 , Mar 2021,112629,8.38
183,184,3-gatsu no Lion,TV,22,Oct 2016 , Mar 2017,641085,8.38
184,185,Barakamon,TV,12,Jul 2014 , Sep 2014,627891,8.38
