,Rank,Anime,Anime Type,Episodes,Start Air Date,End Air Date,Members,Score
69,70,Haikyuu!! Second Season,TV,25,Oct 2015 , Mar 2016,1330595,8.64
70,71,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,Apr 2020 , Jun 2020,1215734,8.64
71,72,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,Oct 2020 , Oct 2020,1328187,8.63
72,73,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,Jan 2020 , Jan 2020,403082,8.63
73,74,Tengen Toppa Gurren Lagann,TV,27,Apr 2007 , Sep 2007,1521945,8.63
74,75,Mo Dao Zu Shi: Wanjie Pian,ONA,12,Aug 2021 , Oct 2021,68321,8.62
75,76,Natsume Yuujinchou Roku,TV,11,Apr 2017 , Jun 2017,173768,8.62
76,77,Ping Pong the Animation,TV,11,Apr 2014 , Jun 2014,365814,8.62
77,78,Shingeki no Kyojin Season 3,TV,12,Jul 2018 , Oct 2018,2143922,8.62
78,79,Death Note,TV,37,Oct 2006 , Jun 2007,3632749,8.62
79,80,Cyberpunk: Edgerunners,ONA,10,Sep 2022 , Sep 2022,490849,8.61
80,81,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,1,Mar 2021 , Mar 2021,333120,8.61
